"id","Makanan","Hidangan","Berat","Kalori","Unit"
"16","Bihun sup + sayur + ayam","1 mangkuk","200","200",
"17","Bihun sup + sayur + ayam + 3 biji meatball","1 mangkuk","345","345",
"18","Bihun tom yam + sayur + ayam","1 mangkuk","250","230",
"19","Bubur ayam","1 mangkuk","200","70",
"20","Bubur daging","1 mangkuk","200","120",
"21","Bubur ikan","1 mangkuk","200","80",
"22","Bubur nasi","1 cawan","170","70",
"23","Bubur nasi + sayur campur + bawang goreng","1 mangkuk","150","140",
"24","Chap chye","1 senduk","60","50",
"25","Char kuetiau","2 senduk","120","230",
"26","Ketupat nasi","5 potong","200","215",
"27","Kuetiau bandung","1 mangkuk kecil","450","540",
"28","Kuetiau bandung + sayur + 1 biji telur rebus","1 mangkuk kecil","200","300",
"29","Kuetiau goreng + sayur + fish cake","2 senduk","120","250",
"30","Kuetiau goreng","2 senduk","170","320",
"31","Kuetiau hailam + sayur + ayam","1 mangkuk","250","380",
"32","Kuetiau kantonis + sayur + ayam","1 pinggan","280","410",
"33","Kuetiau kari","1 mangkuk","250","315",
"34","Kuetiau kari + sayur + ayam","1 mangkuk","250","320",
"35","Kuetiau latna + sayur + ayam","1 mangkuk","250","320",
"36","Kuetiau sup","1 mangkuk","250","140",
"37","Kuetiau sup + sayur + ayam","1 mangkuk","250","140",
"38","Kuetiau tom yam + sayur + ayam","1 mangkuk","250","210",
"39","Laksa + sayur + Â½ biji telur rebus","1 mangkuk","250","240",
"40","Laksa Johor","1 mangkuk","250","330",
"41","Laksa Sarawak","1 mangkuk","250","320",
"42","Lemang","1 potong","30","100",
"43","Lontong + nasi impit","1 mangkuk","300","340",
"44","Makaroni ayam","1 senduk","100","150",
"45","Makaroni bakar","2 senduk","90","150",
"46","Makaroni goring","2 senduk","90","300",
"47","Mi bandung","1 mangkuk","450","550",
"48","Mi bandung + sayur + ayam","1 mangkuk","250","310",
"49","Mi goreng","3 senduk","170","280",
"50","Mi goreng + sayur + fish cake","3 senduk","150","250",
"51","Mi goreng mamak","3 senduk","150","270",
"52","Mi hailam + sayur + ayam","1 mangkuk","250","340",
"53","Mi hailam berkuah","1 mangkuk","250","340",
"54","Mi kantonis + sayur + ayam","1 mangkuk","280","410",
"55","Mi kari","1 mangkuk","410","530",
"56","Mi kari + sayur + ayam","1 mangkuk","250","320",
"57","Mi kungfu","1 mangkuk","250","220",
"58","Mi latna + sayur + ayam","1 mangkuk","250","400",
"59","Mi rebus","1 mangkuk","250","250",
"60","Mi rebus + sayur + Â½ biji telur rebus","1 mangkuk","250","170",
"61","Mi siam","2 senduk","100","120",
"62","Mi sup","1 mangkuk","560","380",
"63","Mi sup + sayur + ayam","1 mangkuk","250","170",
"64","Mi tom yam + sayur + ayam","1 mangkuk","250","130",
"65","Mi udang sup","1 mangkuk","480","250",
"66","Mi wantan sup","1 mangkuk","250","125",
"67","Nasi ambang","1 hidangan","250","325",
"68","Nasi ayam (nasi sahaja)","2 senduk","100","160",
"69","Nasi ayam (set)","1 pinggan","250","280",
"70","Nasi ayam + ayam + sayur + sos cili","1 pinggan","250","450",
"71","Nasi beriani (nasi sahaja)","1 cawan","110","200",
"72","Nasi briyani (set)","1 pinggan","250","460",
"73","Nasi briyani + ayam goreng berempah","1 pinggan","250","450",
"74","Nasi dagang","1 pinggan","250","510",
"75","Nasi goreng","3 senduk","150","290",
"76","Nasi goreng (biasa) + sayur + fish cake","3 senduk","150","290",
"77","Nasi goreng ayam + cendawan","1 set","240","450",
"78","Nasi goreng cendawan","3 senduk","150","290",
"79","Nasi goreng cina","3 senduk","150","320",
"80","Nasi goreng cina + sayur + telur","3 senduk","150","320",
"81","Nasi goreng gajus","3 senduk","150","330",
"82","Nasi goreng ikan masin","3 senduk","150","280",
"83","Nasi goreng ikan masin + sayur + ikan masin","3 senduk","150","280",
"84","Nasi goreng kampung","3 senduk","150","270",
"85","Nasi goreng kampung","3 senduk","150","290",
"86","Nasi goreng kerabu","3 senduk","150","340",
"87","Nasi goreng lada hitam + sayur + ayam","3 senduk","150","290",
"88","Nasi goreng paprik","3 senduk","150","240",
"89","Nasi goreng paprik + sayur + ayam","3 senduk","150","240",
"90","Nasi goreng pataya + sayur + ayam + telur dadar","3 senduk","150","370",
"91","Nasi goreng pattaya","3 senduk","150","285",
"92","Nasi goreng udang + sayur","3 senduk","150","380",
"93","Nasi goreng USA","3 senduk","150","285",
"94","Nasi goreng USA + sayur + udang + telur mata","3 senduk","150","490",
"95","Nasi impit","8 kiub","50","80",
"96","Nasi kerabu","1 set","250","260",
"97","Nasi Khabsa","1 cawan","110","280",
"98","Nasi lemak (biasa)","1 set","180","320",
"99","Nasi lemak (set)","1 pinggan","200","340",
"100","Nasi lemak ayam goreng berempah + timun","1 set","220","490",
"101","Nasi lemak rendang ayam/ daging + timun + sambal","1 set","0","420",
"102","Nasi lemak sambal sotong + timun + sambal","1 set","210","410",
"103","Nasi lemak telur mata kerbau + timun","1 set","180","350",
"104","Nasi minyak (kosong)","3 senduk","150","265",
"105","Nasi nenas","3 senduk","170","160",
"106","Nasi putih","2 senduk","150","200",
"107","Nasi tomato","2 senduk","100","185",
"108","Pasta","2 senduk","110","165",
"109","Soto","1 mangkuk","250","260",
"110","Soto ayam","1 mangkuk","490","510",
"111","Spagethi dengan keju & sos daging","1 mangkuk","440","440",
"112","Ayam gajus","1 senduk","50","165",
"113","Ayam goreng","1 ketul","120","270",
"114","Ayam goreng berempah","1 ketul","90","200",
"115","Ayam goreng KFC (peha)","1 ketul(peha)","65","110",
"116","Ayam goreng KFC (dada)","1 ketul (dada)","55","160",
"117","Ayam goreng madu","1 ketul","90","240",
"118","Ayam masak cili","1 ketul","90","140",
"119","Ayam masak halia","1 senduk","50","60",
"120","Ayam masak kicap","1 ketul","90","200",
"121","Ayam masak kunyit","1 senduk","50","80",
"122","Ayam masak kurma","1 ketul","90","190",
"123","Ayam masak kuzi","1 ketul","90","180",
"124","Ayam masak lemak cili api","1 ketul","90","150",
"125","Ayam masak lemon","1 ketul","90","160",
"126","Ayam masak lengkuas","1 senduk","50","80",
"127","Ayam masak merah","1 ketul","90","140",
"128","Ayam masak nyonya","1 ketul","80","140",
"129","Ayam masak paprik","1 senduk","70","70",
"130","Ayam masak sambal","1 ketul","100","180",
"131","Ayam masak tomato","1 ketul","100","150",
"132","Ayam panggang","1 ketul","90","130",
"133","Ayam panggang (tanpa kulit)","1 ketul","90","150",
"134","Ayam percik","1 ketul","80","140",
"135","Ayam percik Kelantan","1 ketul","80","140",
"136","Ayam seroja","1 ketul","90","110",
"137","Ayam Tandoori","1 ketul","100","200",
"138","Ayam Tandoori (tanpa kulit)","1 ketul","100","175",
"139","Bebola ikan goreng","1 senduk","40","105",
"140","Bebola ikan masak sambal","1 senduk","70","110",
"141","Braised Sharkâ€™s Fin Soup with Crabmeat","1 mangkuk kecil","100","90",
"144","Buttered prawn","5 ekor","100","180",
"145","Chicken boxing","3 ketul","50","120",
"146","Chilli prawn chinese style","3 ekor","60","120",
"147","Crispy Roasted Chicken with BBQ Sauce","1 ketul","90","170",
"148","Daging asam pedas","2 ketul (saiz kotak mancis)","80","70",
"149","Daging belada","2 ketul (saiz kotak mancis)","80","90",
"150","Daging dendeng","1 ketul (saiz kotak mancis)","35","125",
"151","Daging goreng","1 ketul (saiz kotak mancis)","40","140",
"152","Daging goreng kunyit","1 senduk","80","80",
"153","Daging kambing goreng","2 ketul (saiz kotak mancis)","80","220",
"154","Daging kambing masak kurma","1 senduk","80","120",
"155","Daging kicap berempah","1 ketul (saiz kotak mancis)","60","80",
"156","Daging lembu goreng","1 ketul (saiz kotak mancis)","40","140",
"157","Daging lembu masak merah","1 ketul+4 sudu makan kuah","90","140",
"158","Daging masak asam pedas","1 ketul (saiz kotak mancis)","40","45",
"159","Daging masak dendeng","1 senduk","60","215",
"160","Daging masak halia","2 ketul","60","90",
"161","Daging masak hitam","1 senduk","90","145",
"162","Daging masak kicap","1 ketul (saiz kotak mancis)","60","80",
"163","Daging masak kurma","2 ketul (saiz kotak mancis)","80","80",
"164","Daging masak lada hitam","3 ketul","90","180",
"165","Daging masak lemak cili api","1 ketul (saiz kotak mancis)","42","65",
"166","Daging masak singgang","3 ketul","90","100",
"167","Daging masak taucu","1 senduk","80","180",
"168","Daging merah Ala Thai","2 keping","60","100",
"169","Daging palembang","1 ketul (saiz kotak mancis)","30","110",
"170","Daging salai masak lemak","3 ketul","110","190",
"171","Daging tetel masak asam pedas","3 ketul","90","160",
"172","Kari ayam","1 ketul","130","200",
"173","Kari kambing","2 ketul","80","140",
"174","Kari lembu","2 ketul","90","130",
"175","Kari telur","Â½ biji","20","130",
"176","Kerabu perut","1 senduk","70","80",
"177","Kuzee ayam","1 senduk","60","145",
"178","Paru lembu goreng","1 keping","60","290",
"179","Paru masak sambal","1 senduk","70","80",
"180","Perut lembu masak lemak","2 keping","80","120",
"181","Puyuh masak sambal","1 ekor","100","145",
"182","Rendang ayam","1 senduk","50","100",
"183","Rendang daging lembu","2 keping","50","130",
"184","Rendang hati ayam","1 ketul","50","140",
"185","Rendang hati lembu","1 keping","40","100",
"186","Rendang limpa lembu","1 keping","40","90",
"187","Sate ayam","5 cucuk","80","200",
"188","Sate daging lembu","5 cucuk","80","190",
"189","Sate perut lembu","1 cucuk","20","40",
"190","Siput masak lemak","1 senduk","55","60",
"191","Sosej","1 ketul","30","100",
"192","Sosej + roti bakar + scramble egg","1 set","160","310",
"193","Sosej koktail","2 ketul","33","105",
"194","Soto ayam","1 mangkuk","490","510",
"195","Stir fried boneless chicken with cashew nuts & sesame seeds","1 ketul","50","140",
"196","Stir fried chicken with dry chilli","1 ketul","90","150",
"197","Stir fry chicken with celery","1 senduk","60","125",
"198","Sup ayam","1 mangkuk kecil","150","80",
"199","Sup daging","1 mangkuk kecil","150","90",
"200","Sup ekor","1 mangkuk kecil","150","120",
"201","Sup tomyam kurang pedas","1 mangkuk kecil","150","90",
"202","Sup tulang","1 mangkuk","150","75",
"203","Telurs setengah masak","1 biji","50","80",
"204","Telur Masin","½ biji","50","50",
"205","Telur dadar","1 potong","45","100",
"206","Telur hancur","2 sudu makan","40","50",
"207","Telur mata kerbau","1 biji","54","110",
"208","Telur rebus","1 biji","50","75",
"209","Telur setengah masak","1 biji","50","75",
"210","Tomyam ayam","1 mangkuk kecil","150","75",
"211","Tulang gulai nangka","1 senduk","40","110",
"212","Ikan acar","1 ekor","90","155",
"213","Ikan bawal hitam goreng","1 ekor","100","150",
"214","Ikan bawal hitam goreng berlada","1 ekor sederhana","100","170",
"215","Ikan bawal hitam masak 3 rasa","1 ekor","100","210",
"216","Ikan bawal putih goreng","1 ekor","80","190",
"217","Ikan cencaru goreng belada","2 potong","150","200",
"218","Ikan cencaru kukus","1 ekor","100","80",
"219","Ikan cencaru masak cuka","1 ekor","150","270",
"220","Ikan cencaru sumbat","1 ekor","100","200",
"221","Ikan goreng","1 ekor","70","180",
"222","Ikan haruan kering goreng","1 ekor kecil","40","160",
"223","Ikan keli goreng berlada","1 ekor sederhana","90","90",
"224","Ikan kembong bakar","1 ekor","70","80",
"225","Air asam","1 sudu makan","20","10",
"226","Ikan kembong goreng","1 ekor","70","160",
"227","Ikan kembong goreng belada","1 ekor","110","300",
"228","Ikan kembong masak asam rebus","1 ekor","80","100",
"229","Ikan kembong masak kicap","1 ekor","80","160",
"230","Ikan kembong masak taucu","1 ekor","80","130",
"231","Ikan kerisi goreng","1 ekor","75","205",
"232","Ikan kerisi goreng berlada","1 ekor","75","245",
"233","Ikan kerisi masak kicap","1 ekor","75","150",
"234","Ikan kukus dengan halia","1 potong","55","100",
"235","Ikan masam manis","1 ekor","80","220",
"236","Ikan masin goreng bawang","3 ketul","50","100",
"237","Ikan masin masak lemak","1 senduk","50","145",
"238","Ikan merah goreng berlada","1 potong kecil","50","130",
"239","Ikan merah masak asam","1 potong sederhana","80","180",
"240","Ikan merah masak asam pedas","1 potong kecil","80","190",
"241","Ikan merah masak lemak","1 potong sederhana","80","200",
"242","Ikan merah singgang","1 ekor","80","115",
"243","Ikan panggang Portugal Ala EDEN","1 potong","90","170",
"244","Ikan pari masak asam pedas","1 potong","60","120",
"245","Ikan selar goreng","1 ekor","60","105",
"246","Ikan selar kuning goreng","1 ekor","60","100",
"247","Ikan selar kuning masak asam pedas","1 ekor kecil","40","90",
"248","Ikan sembilang goreng","1 ekor","100","280",
"249","Ikan senangin goreng","1 ekor","80","220",
"250","Ikan senangin masak cili","1 potong","60","145",
"251","Ikan senangin masak masam manis","2 potong","100","210",
"252","Ikan tenggiri asam pedas","1keping","55","120",
"253","Ikan tenggiri goreng","1 keping","60","190",
"254","Ikan tenggiri goreng berlada","1 keping","60","150",
"255","Ikan tiga rasa","1 ekor","80","80",
"256","Ikan tilapia goreng berlada","1 ekor","60","145",
"257","Ikan tilapia masak lemak","1 ekor","60","70",
"258","Ikan tongkol masak lemak","1 potong + 4 sudu makan kuah","60","70",
"259","Isi ikan (fish fillet)","3 ketul","45","105",
"260","Isi ikan harum wangi bunga kantan","3 ketul","60","80",
"261","Isi ikan kukus cendawan hitam","1 senduk","60","80",
"262","Isi ikan masak tiga rasa","1 senduk","60","85",
"263","Isi ikan sweet sour","1 keping","60","90",
"264","Kari ikan kembong","1 ekor","80","70",
"265","Kari ikan masin","3 ketul","60","95",
"266","Kari udang & nenas","1 senduk","70","30",
"267","Kerabu Jelly Fish","1 senduk","50","50",
"268","Kerabu sotong","1 senduk","50","55",
"269","Kerang masak sambal","1 senduk","55","60",
"270","Keropok ikan","5 keping","30","150",
"271","Keropok udang","½ cawan","20","85",
"272","Ketam masak cili","2 ekor","100","140",
"273","Kupang masak sambal","1 senduk","60","95",
"274","Lala masak masam manis","1 senduk","55","50",
"275","Nugget ayam","1 keping","20","60",
"276","Otak-otak","1 keping","30","70",
"277","Pan fried butter fish","1 ketul","90","190",
"278","Salad crabstick with honeydew","1 senduk","80","120",
"279","Sambal goreng ikan bilis + kacang tanah","1 senduk","50","150",
"280","Sambal ikan bilis","2 sudu makan","30","100",
"281","Sambal sardin","2 sudu makan","25","50",
"282","Sambal sotong","4 ekor kecil","80","100",
"283","Sambal sotong kembang","1 senduk","50","80",
"284","Sambal telur rebus","1 biji","60","160",
"285","Sambal tempe + ikan bilis+ kentang","1 senduk","40","100",
"286","Sambal tumis udang","1 senduk","60","145",
"287","Sambal udang kecil","1 senduk","40","70",
"288","Sotong goreng kunyit","1 senduk","60","90",
"289","Sotong goreng tepung","1 senduk","60","150",
"290","Sotong kering masak sambal","1 senduk","45","65",
"291","Sotong masak kicap","2 ekor","60","90",
"292","Steamed red Talapia Fish Thai Style","1 keping","70","60",
"293","Stir Fried Mantis Prawn with Thai Sauce","2 ekor","40","70",
"294","Stir Fried Prawn with Butter and Curry Leaves","1 ekor sederhana","30","70",
"295","Sup ikan merah","1 mangkuk kecil","150","100",
"296","Sup ikan merah & batang sederi","1 mangkuk kecil","150","40",
"297","Udang dengan sos Mongolian","3 ekor","80","130",
"298","Udang Goreng Kunyit","3 ekor sederhana","80","90",
"299","Udang masak lemak kuning","3 ekor","40","95",
"300","Udang masak lemak merah","3 ekor","40","95",
"301","Acar timun","1 senduk","50","50",
"302","Belimbing","1 biji","300","70",
"303","Betik","1 potong sederhana","200","70",
"304","Buah kurma","3 biji","30","60",
"305","Buah lai","1 biji sederhana","200","70",
"306","Buah naga","3 hirisan kecil","30","30",
"307","Buah-buahan potong","6 hirisan kecil","80","30",
"308","Buah-buahan potong","8 hirisan kecil","100","40",
"309","Chilled Longan with Jelly","1 cawan","150","80",
"310","Epal hijau","1 biji","110","60",
"311","Epal merah","1 biji","110","60",
"312","Fruit cocktail triffle pudding","1 potong","60","110",
"313","Fruit tartlet","1 biji","60","160",
"314","Jagung rebus","1 cawan kecil","120","110",
"315","Jambu air","1 biji","50","10",
"316","Jambu batu","Â½ biji (tanpa biji)","150","70",
"317","Kerabu mangga","1 senduk","50","75",
"318","Mangga","1 biji sederhana","100","70",
"319","Nangka masak lemak","1 senduk","60","50",
"320","Nenas","1 potong sederhana","130","60",
"321","Nenas Bombay","1 senduk","45","40",
"322","Pajeri nenas","1 senduk","25","45",
"323","Pisang berangan","1 biji sederhana","90","60",
"324","Pisang mas","2 bji sederhana","100","80",
"325","Pisang masak lemak","1 senduk","60","90",
"326","Rojak sayur + kuah kacang","1 cawan","100","90",
"327","Tembikai","1 potong sederhana","130","40",
"328","Thai style kerabu mango","1 senduk","70","110",
"329","Tulang gulai nangka","1 senduk","40","110",
"330","Bayam goreng","1 senduk","60","80",
"331","Braised chinese cabbage with three mushroom","1 senduk","50","80",
"332","Brocolli & cauliflower goreng","1 senduk","60","20",
"333","Cekur manis masak lemak","1 senduk","60","120",
"334","Cili jeruk","1 sudu makan","10","10",
"335","Cream of potatoes","1 mangkuk kecil","150","90",
"336","Cucumber & tomato raita","1 senduk","80","30",
"337","Dalca kacang kuda","1 senduk","60","130",
"338","Dalca sayur","1 senduk","80","130",
"339","Fucuk tumis air","1 senduk","90","80",
"340","Jelatah (timun & nenas)","1 senduk","50","80",
"341","Kacang botol goreng","1 senduk","60","50",
"342","Kacang buncis goreng","1 senduk","60","40",
"343","Kacang kuda/ kacang tanah (rebus)","1 senduk","50","160",
"344","Kacang panggang","2 sudu makan","50","40",
"345","Kacang panjang goreng","1 senduk","60","55",
"346","Kailan goreng","1 senduk","60","40",
"347","Kailan ikan masin","1 senduk","60","80",
"348","Kailan masak sos tiram","1 senduk","60","40",
"349","Kangkung goreng","1 senduk","60","50",
"350","Kari sayur","1 senduk","60","60",
"351","Keladi masak asam rebus","1 mangkuk kecil","100","60",
"352","Keledek goreng","2 keping","40","170",
"353","Keledek/ keladi goreng","3 keping","90","175",
"354","Kerabu pucuk paku","1 senduk","50","30",
"355","Kerabu pucuk paku/ taugeh","1 senduk","60","40",
"356","Kerabu suhun","1 senduk","80","65",
"357","Kerabu taugeh + lobak merah","1 senduk","60","60",
"358","Kerabu ulam","1 cawan","60","20",
"359","Kobis goreng","1 senduk","60","50",
"360","Kobis masak lemak putih","1 senduk","70","135",
"361","Labu kuning masak lemak","1 senduk","60","50",
"362","Lontong dengan sayur lodeh","1 mangkuk","270","280",
"363","Peria goreng telur","1 senduk","40","70",
"364","Petola masak air","1 senduk","60","50",
"365","Pucuk manis + labu kuning masak lemak","1 senduk","105","150",
"366","Pucuk manis masak kuah lemak putih","1 senduk","90","100",
"367","Pucuk paku masak lemak","1 senduk","40","140",
"368","Rebung masak lemak","1 senduk","60","50",
"369","Salad","3 tangkai","30","5",
"370","Salad Arab","1 senduk","50","60",
"371","Salad crabstick with honeydew","1 senduk","80","120",
"372","Salad telur","1 senduk","50","110",
"373","Salad telur","1 senduk","50","110",
"374","Sawi chap choy goreng","1 senduk","60","50",
"375","Sawi hijau goreng sos tiram","1 senduk","60","55",
"376","Sawi Jepun goreng","1 senduk","60","50",
"377","Sawi putih goreng","1 senduk","60","50",
"378","Sawi putih goreng kuah sos tiram","1 senduk","60","55",
"379","Sayur campur goreng","1 senduk","60","50",
"380","Sayur goreng Jawa","1 senduk","50","70",
"381","Sayur lodeh","2 senduk","90","125",
"382","Sup cendawan","1 mangkuk kecil","150","75",
"383","Sup sayur campur","1 mangkuk kecil","150","45",
